#rho_c = 0.0014, P_c = 0.000236305, eps_c = 0.00153286
#Scale = 100, Pressure Depletion = 1
#finished odeint with kount = 3958, r = 7.8672, and P = 5.03375e-23
#Found TOV solution for rho_c = 0.0014
#       Mass   = 1.41939
#       Radius = 6.36873
#       Circ Radius = 7.8672
#       Surf Lapse =  0.799477  0.799477  7.8672
#r (iso)        rho          P
0   0.0014   0.000236305
0.00643886   0.0014   0.000236304
0.0128777   0.00139999   0.000236302
0.0193166   0.00139999   0.000236298
0.0257554   0.00139998   0.000236292
0.0321943   0.00139996   0.000236286
0.0386331   0.00139995   0.000236277
0.045072   0.00139993   0.000236267
0.0515109   0.00139991   0.000236256
0.0579497   0.00139988   0.000236243
0.0643886   0.00139985   0.000236229
0.0708274   0.00139982   0.000236213
0.0772663   0.00139979   0.000236195
0.0837051   0.00139975   0.000236176
0.090144   0.00139971   0.000236156
0.0965829   0.00139967   0.000236134
0.103022   0.00139962   0.00023611
0.109461   0.00139957   0.000236085
0.115899   0.00139952   0.000236059
0.122338   0.00139946   0.000236031
0.128777   0.00139941   0.000236001
0.135216   0.00139935   0.00023597
0.141655   0.00139928   0.000235937
0.148094   0.00139922   0.000235903
0.154533   0.00139915   0.000235868
0.160971   0.00139907   0.00023583
0.16741   0.001399   0.000235792
0.173849   0.00139892   0.000235752
0.180288   0.00139884   0.00023571
0.186727   0.00139875   0.000235667
0.193166   0.00139866   0.000235622
0.199605   0.00139857   0.000235576
0.206043   0.00139848   0.000235528
0.212482   0.00139838   0.000235479
0.218921   0.00139829   0.000235428
0.22536   0.00139818   0.000235376
0.231799   0.00139808   0.000235322
0.238238   0.00139797   0.000235267
0.244677   0.00139786   0.000235211
0.251115   0.00139774   0.000235152
0.257554   0.00139763   0.000235093
0.263993   0.00139751   0.000235031
0.270432   0.00139738   0.000234969
0.276871   0.00139726   0.000234905
0.28331   0.00139713   0.000234839
0.289749   0.001397   0.000234772
0.296187   0.00139686   0.000234703
0.302626   0.00139672   0.000234633
0.309065   0.00139658   0.000234561
0.315504   0.00139644   0.000234488
0.321943   0.00139629   0.000234414
0.328382   0.00139614   0.000234337
0.334821   0.00139599   0.00023426
0.341259   0.00139584   0.000234181
0.347698   0.00139568   0.0002341
0.354137   0.00139552   0.000234018
0.360576   0.00139535   0.000233935
0.367015   0.00139519   0.00023385
0.373454   0.00139502   0.000233763
0.379893   0.00139484   0.000233675
0.386331   0.00139467   0.000233586
0.39277   0.00139449   0.000233495
0.399209   0.00139431   0.000233403
0.405648   0.00139412   0.000233309
0.412087   0.00139393   0.000233214
0.418526   0.00139374   0.000233117
0.424965   0.00139355   0.000233019
0.431403   0.00139335   0.000232919
0.437842   0.00139315   0.000232818
0.444281   0.00139295   0.000232715
0.45072   0.00139274   0.000232611
0.457159   0.00139254   0.000232506
0.463598   0.00139232   0.000232399
0.470037   0.00139211   0.000232291
0.476475   0.00139189   0.000232181
0.482914   0.00139167   0.00023207
0.489353   0.00139145   0.000231957
0.495792   0.00139122   0.000231843
0.502231   0.001391   0.000231727
0.50867   0.00139076   0.00023161
0.515109   0.00139053   0.000231492
0.521547   0.00139029   0.000231372
0.527986   0.00139005   0.00023125
0.534425   0.00138981   0.000231128
0.540864   0.00138956   0.000231004
0.547303   0.00138931   0.000230878
0.553742   0.00138906   0.000230751
0.560181   0.00138881   0.000230622
0.566619   0.00138855   0.000230493
0.573058   0.00138829   0.000230361
0.579497   0.00138802   0.000230229
0.585936   0.00138776   0.000230095
0.592375   0.00138749   0.000229959
0.598814   0.00138721   0.000229822
0.605253   0.00138694   0.000229684
0.611691   0.00138666   0.000229544
0.61813   0.00138638   0.000229403
0.624569   0.0013861   0.000229261
0.631008   0.00138581   0.000229117
0.637447   0.00138552   0.000228971
0.643886   0.00138523   0.000228825
0.650325   0.00138493   0.000228677
0.656763   0.00138463   0.000228527
0.663202   0.00138433   0.000228376
0.669641   0.00138403   0.000228224
0.67608   0.00138372   0.000228071
0.682519   0.00138341   0.000227916
0.688958   0.0013831   0.000227759
0.695397   0.00138278   0.000227602
0.701835   0.00138246   0.000227443
0.708274   0.00138214   0.000227282
0.714713   0.00138182   0.00022712
0.721152   0.00138149   0.000226957
0.727591   0.00138116   0.000226793
0.73403   0.00138083   0.000226627
0.740469   0.00138049   0.00022646
0.746907   0.00138015   0.000226291
0.753346   0.00137981   0.000226121
0.759785   0.00137947   0.00022595
0.766224   0.00137912   0.000225778
0.772663   0.00137877   0.000225604
0.779102   0.00137841   0.000225429
0.785541   0.00137806   0.000225252
0.791979   0.0013777   0.000225074
0.798418   0.00137734   0.000224895
0.804857   0.00137697   0.000224715
0.811296   0.00137661   0.000224533
0.817735   0.00137624   0.00022435
0.824174   0.00137586   0.000224165
0.830613   0.00137549   0.00022398
0.837051   0.00137511   0.000223793
0.84349   0.00137473   0.000223604
0.849929   0.00137434   0.000223415
0.856368   0.00137396   0.000223224
0.862807   0.00137357   0.000223032
0.869246   0.00137317   0.000222838
0.875685   0.00137278   0.000222643
0.882123   0.00137238   0.000222447
0.888562   0.00137198   0.00022225
0.895001   0.00137157   0.000222051
0.90144   0.00137117   0.000221852
0.907879   0.00137076   0.00022165
0.914318   0.00137035   0.000221448
0.920757   0.00136993   0.000221244
0.927195   0.00136951   0.00022104
0.933634   0.00136909   0.000220833
0.940073   0.00136867   0.000220626
0.946512   0.00136824   0.000220417
0.952951   0.00136781   0.000220207
0.95939   0.00136738   0.000219996
0.965829   0.00136694   0.000219784
0.972267   0.00136651   0.00021957
0.978706   0.00136607   0.000219356
0.985145   0.00136562   0.00021914
0.991584   0.00136518   0.000218922
0.998023   0.00136473   0.000218704
1.00446   0.00136428   0.000218484
1.0109   0.00136382   0.000218263
1.01734   0.00136336   0.000218041
1.02378   0.0013629   0.000217818
1.03022   0.00136244   0.000217593
1.03666   0.00136197   0.000217368
1.04309   0.00136151   0.000217141
1.04953   0.00136104   0.000216913
1.05597   0.00136056   0.000216684
1.06241   0.00136008   0.000216453
1.06885   0.00135961   0.000216222
1.07529   0.00135912   0.000215989
1.08173   0.00135864   0.000215755
1.08817   0.00135815   0.00021552
1.09461   0.00135766   0.000215284
1.10104   0.00135717   0.000215046
1.10748   0.00135667   0.000214808
1.11392   0.00135617   0.000214568
1.12036   0.00135567   0.000214327
1.1268   0.00135517   0.000214085
1.13324   0.00135466   0.000213842
1.13968   0.00135415   0.000213598
1.14612   0.00135364   0.000213352
1.15256   0.00135312   0.000213106
1.15899   0.0013526   0.000212858
1.16543   0.00135208   0.00021261
1.17187   0.00135156   0.00021236
1.17831   0.00135103   0.000212109
1.18475   0.00135051   0.000211857
1.19119   0.00134997   0.000211604
1.19763   0.00134944   0.00021135
1.20407   0.0013489   0.000211094
1.21051   0.00134836   0.000210838
1.21694   0.00134782   0.00021058
1.22338   0.00134728   0.000210322
1.22982   0.00134673   0.000210062
1.23626   0.00134618   0.000209801
1.2427   0.00134562   0.00020954
1.24914   0.00134507   0.000209277
1.25558   0.00134451   0.000209013
1.26202   0.00134395   0.000208748
1.26845   0.00134338   0.000208482
1.27489   0.00134282   0.000208215
1.28133   0.00134225   0.000207947
1.28777   0.00134168   0.000207678
1.29421   0.0013411   0.000207408
1.30065   0.00134053   0.000207136
1.30709   0.00133995   0.000206864
1.31353   0.00133936   0.000206591
1.31997   0.00133878   0.000206317
1.3264   0.00133819   0.000206042
1.33284   0.0013376   0.000205765
1.33928   0.00133701   0.000205488
1.34572   0.00133641   0.00020521
1.35216   0.00133581   0.000204931
1.3586   0.00133521   0.000204651
1.36504   0.00133461   0.000204369
1.37148   0.001334   0.000204087
1.37792   0.00133339   0.000203804
1.38435   0.00133278   0.00020352
1.39079   0.00133216   0.000203235
1.39723   0.00133155   0.000202949
1.40367   0.00133093   0.000202662
1.41011   0.0013303   0.000202374
1.41655   0.00132968   0.000202085
1.42299   0.00132905   0.000201795
1.42943   0.00132842   0.000201505
1.43587   0.00132779   0.000201213
1.4423   0.00132715   0.00020092
1.44874   0.00132652   0.000200627
1.45518   0.00132587   0.000200332
1.46162   0.00132523   0.000200037
1.46806   0.00132459   0.000199741
1.4745   0.00132394   0.000199443
1.48094   0.00132329   0.000199145
1.48738   0.00132263   0.000198846
1.49381   0.00132198   0.000198547
1.50025   0.00132132   0.000198246
1.50669   0.00132066   0.000197944
1.51313   0.00131999   0.000197642
1.51957   0.00131932   0.000197338
1.52601   0.00131866   0.000197034
1.53245   0.00131798   0.000196729
1.53889   0.00131731   0.000196423
1.54533   0.00131663   0.000196116
