 EoSType = BetaEq
 Nrho= 231   NT=  61
 RhoMin=   0.161865E-09    RhoMax=   0.161865E-02
 Tmin=   0.100000E+00    Tmax=   0.891251E+02
HeatCapacity=   0.160000E-02
     GammaTh=   0.166667E+01
    Kappa=   0.100000E+03
 RhoSpacing = Log
 TSpacing = Log
  -2.309204E-03   1.583965E+00   1.624983E-02
  -2.296145E-03   1.584707E+00   1.643821E-02
  -2.282760E-03   1.585455E+00   1.662998E-02
  -2.269025E-03   1.586211E+00   1.682334E-02
  -2.254911E-03   1.586976E+00   1.701714E-02
  -2.240475E-03   1.587747E+00   1.721545E-02
  -2.225630E-03   1.588524E+00   1.741344E-02
  -2.210445E-03   1.589312E+00   1.761480E-02
  -2.194863E-03   1.590107E+00   1.781768E-02
  -2.178881E-03   1.590908E+00   1.802231E-02
  -2.162535E-03   1.591719E+00   1.823023E-02
  -2.145743E-03   1.592537E+00   1.843778E-02
  -2.128594E-03   1.593364E+00   1.865053E-02
  -2.110996E-03   1.594198E+00   1.886346E-02
  -2.092980E-03   1.595042E+00   1.907826E-02
  -2.074550E-03   1.595894E+00   1.929655E-02
  -2.055635E-03   1.596752E+00   1.951468E-02
  -2.036344E-03   1.597621E+00   1.973784E-02
  -2.016551E-03   1.598498E+00   1.996061E-02
  -1.996317E-03   1.599383E+00   2.018647E-02
  -1.975350E-03   1.600278E+00   2.041431E-02
  -1.953469E-03   1.601182E+00   2.064249E-02
  -1.931133E-03   1.602096E+00   2.087664E-02
  -1.908242E-03   1.603018E+00   2.111038E-02
  -1.884864E-03   1.603950E+00   2.134804E-02
  -1.860945E-03   1.604890E+00   2.158736E-02
  -1.836474E-03   1.605839E+00   2.182820E-02
  -1.811492E-03   1.606799E+00   2.207293E-02
  -1.785910E-03   1.607766E+00   2.231705E-02
  -1.759813E-03   1.608744E+00   2.256638E-02
  -1.733115E-03   1.609731E+00   2.281617E-02
  -1.705836E-03   1.610727E+00   2.306804E-02
  -1.677986E-03   1.611735E+00   2.332390E-02
  -1.649490E-03   1.612750E+00   2.357925E-02
  -1.620448E-03   1.613777E+00   2.384037E-02
  -1.590743E-03   1.614812E+00   2.410065E-02
  -1.560425E-03   1.615860E+00   2.436340E-02
  -1.529475E-03   1.616917E+00   2.462897E-02
  -1.497843E-03   1.617984E+00   2.489471E-02
  -1.465612E-03   1.619065E+00   2.516672E-02
  -1.432666E-03   1.620154E+00   2.543814E-02
  -1.399077E-03   1.621254E+00   2.571436E-02
  -1.364793E-03   1.622365E+00   2.599225E-02
  -1.328980E-03   1.623488E+00   2.627150E-02
  -1.291760E-03   1.624622E+00   2.655604E-02
  -1.253760E-03   1.625766E+00   2.683949E-02
  -1.215034E-03   1.626924E+00   2.712714E-02
  -1.175522E-03   1.628093E+00   2.741568E-02
  -1.135231E-03   1.629272E+00   2.770669E-02
  -1.094170E-03   1.630465E+00   2.800152E-02
  -1.052283E-03   1.631670E+00   2.829521E-02
  -1.009630E-03   1.632886E+00   2.859598E-02
  -9.661365E-04   1.634114E+00   2.889569E-02
  -9.218301E-04   1.635357E+00   2.919780E-02
  -8.766964E-04   1.636612E+00   2.950335E-02
  -8.306984E-04   1.637876E+00   2.980854E-02
  -7.838910E-04   1.639159E+00   3.011934E-02
  -7.361965E-04   1.640453E+00   3.042885E-02
  -6.870436E-04   1.641761E+00   3.074312E-02
  -6.358265E-04   1.643086E+00   3.105874E-02
  -5.836804E-04   1.644426E+00   3.137415E-02
  -5.306090E-04   1.645779E+00   3.169611E-02
  -4.765893E-04   1.647146E+00   3.201651E-02
  -4.216352E-04   1.648530E+00   3.234162E-02
  -3.657253E-04   1.649928E+00   3.266708E-02
  -3.088570E-04   1.651339E+00   3.299399E-02
  -2.510330E-04   1.652769E+00   3.332388E-02
  -1.922337E-04   1.654212E+00   3.365155E-02
  -1.324737E-04   1.655674E+00   3.398638E-02
  -7.173342E-05   1.657150E+00   3.431949E-02
  -7.877040E-06   1.658648E+00   3.465498E-02
   5.725434E-05   1.660164E+00   3.499412E-02
   1.234140E-04   1.661694E+00   3.533185E-02
   1.906380E-04   1.663246E+00   3.567576E-02
   2.588868E-04   1.664813E+00   3.601761E-02
   3.281872E-04   1.666399E+00   3.636398E-02
   3.985280E-04   1.668003E+00   3.671119E-02
   4.698999E-04   1.669622E+00   3.705736E-02
   5.423277E-04   1.671264E+00   3.740801E-02
   6.176560E-04   1.672927E+00   3.775586E-02
   6.950580E-04   1.674615E+00   3.810712E-02
   7.735302E-04   1.676322E+00   3.845803E-02
   8.530738E-04   1.678049E+00   3.880917E-02
   9.337224E-04   1.679799E+00   3.916343E-02
   1.015384E-03   1.681566E+00   3.951422E-02
   1.098152E-03   1.683361E+00   3.987049E-02
   1.181923E-03   1.685174E+00   4.022397E-02
   1.269939E-03   1.687018E+00   4.057855E-02
   1.359373E-03   1.688889E+00   4.093377E-02
   1.449796E-03   1.690780E+00   4.128505E-02
   1.541389E-03   1.692700E+00   4.164273E-02
   1.633920E-03   1.694640E+00   4.199640E-02
   1.727490E-03   1.696608E+00   4.235145E-02
   1.822883E-03   1.698603E+00   4.270617E-02
   1.922224E-03   1.700634E+00   4.305719E-02
   2.022688E-03   1.702699E+00   4.341033E-02
   2.123985E-03   1.704787E+00   4.375830E-02
   2.226301E-03   1.706903E+00   4.410909E-02
   2.329451E-03   1.709048E+00   4.445705E-02
   2.435118E-03   1.711229E+00   4.480211E-02
   2.544642E-03   1.713453E+00   4.514670E-02
   2.654827E-03   1.715701E+00   4.548435E-02
   2.765971E-03   1.717992E+00   4.582006E-02
   2.877724E-03   1.720308E+00   4.615171E-02
   2.991017E-03   1.722656E+00   4.648369E-02
   3.108976E-03   1.725045E+00   4.682049E-02
   3.227422E-03   1.727461E+00   4.715005E-02
   3.346799E-03   1.729916E+00   4.748381E-02
   3.466529E-03   1.732400E+00   4.780968E-02
   3.588723E-03   1.734944E+00   4.812798E-02
   3.715084E-03   1.737565E+00   4.843287E-02
   3.841547E-03   1.740216E+00   4.872980E-02
   3.968481E-03   1.742918E+00   4.902191E-02
   4.096251E-03   1.745675E+00   4.929875E-02
   4.230542E-03   1.748634E+00   4.952946E-02
   4.364123E-03   1.751631E+00   4.975213E-02
   4.496848E-03   1.754662E+00   4.996618E-02
   4.635144E-03   1.758146E+00   5.004515E-02
   4.771952E-03   1.761750E+00   5.008015E-02
   4.913076E-03   1.766118E+00   4.986865E-02
   5.054280E-03   1.771320E+00   4.938043E-02
   5.192269E-03   1.777375E+00   4.863672E-02
   5.325410E-03   1.783709E+00   4.782872E-02
   5.452580E-03   1.790165E+00   4.701388E-02
   5.575465E-03   1.796808E+00   4.618355E-02
   5.692998E-03   1.803554E+00   4.534170E-02
   5.805888E-03   1.810354E+00   4.455376E-02
   5.914390E-03   1.817047E+00   4.381926E-02
   6.018416E-03   1.823715E+00   4.311590E-02
   6.119434E-03   1.830451E+00   4.243259E-02
   6.215951E-03   1.837117E+00   4.179206E-02
   6.310841E-03   1.843750E+00   4.120871E-02
   6.402516E-03   1.850322E+00   4.066518E-02
   6.490442E-03   1.856813E+00   4.015383E-02
   6.576936E-03   1.863279E+00   3.967179E-02
   6.661142E-03   1.869681E+00   3.922980E-02
   6.742285E-03   1.876069E+00   3.880691E-02
   6.823554E-03   1.882288E+00   3.847867E-02
   6.901043E-03   1.888436E+00   3.815303E-02
   6.979444E-03   1.894525E+00   3.788486E-02
   7.053598E-03   1.900543E+00   3.761210E-02
   7.130255E-03   1.906476E+00   3.739560E-02
   7.202883E-03   1.912375E+00   3.717330E-02
   7.276773E-03   1.918199E+00   3.700457E-02
   7.349392E-03   1.923951E+00   3.687545E-02
   7.418894E-03   1.929650E+00   3.675479E-02
   7.492678E-03   1.935336E+00   3.662887E-02
   7.563466E-03   1.940952E+00   3.651629E-02
   7.632439E-03   1.946558E+00   3.641873E-02
   7.704541E-03   1.952035E+00   3.638155E-02
   7.775472E-03   1.957550E+00   3.632404E-02
   7.845386E-03   1.963131E+00   3.624534E-02
   7.913831E-03   1.968722E+00   3.615649E-02
   7.986714E-03   1.974247E+00   3.611507E-02
   8.058177E-03   1.979825E+00   3.606515E-02
   8.128390E-03   1.985454E+00   3.600750E-02
   8.197804E-03   1.991191E+00   3.593262E-02
   8.268481E-03   1.996855E+00   3.588269E-02
   8.342079E-03   2.002541E+00   3.583981E-02
   8.414579E-03   2.008328E+00   3.576472E-02
   8.486425E-03   2.014256E+00   3.565600E-02
   8.557554E-03   2.020274E+00   3.554099E-02
   8.629248E-03   2.025156E+00   3.571060E-02
   8.702675E-03   2.030209E+00   3.586602E-02
   8.776918E-03   2.035347E+00   3.602122E-02
   8.852450E-03   2.040598E+00   3.617793E-02
   8.929114E-03   2.045970E+00   3.632611E-02
   9.006756E-03   2.051452E+00   3.646794E-02
   9.085711E-03   2.057058E+00   3.662236E-02
   9.165474E-03   2.062756E+00   3.678192E-02
   9.246530E-03   2.068578E+00   3.695879E-02
   9.328516E-03   2.074485E+00   3.716758E-02
   9.411468E-03   2.080479E+00   3.740992E-02
   9.495689E-03   2.086523E+00   3.771792E-02
   9.580766E-03   2.092634E+00   3.805655E-02
   9.667251E-03   2.098747E+00   3.854624E-02
   9.754839E-03   2.104848E+00   3.910014E-02
   9.843823E-03   2.110883E+00   3.975456E-02
   9.934489E-03   2.116825E+00   4.063579E-02
   1.002628E-02   2.122771E+00   4.160110E-02
   1.012124E-02   2.128162E+00   4.287134E-02
   1.021783E-02   2.133487E+00   4.429158E-02
   1.031727E-02   2.138552E+00   4.609053E-02
   1.042076E-02   2.142913E+00   4.821890E-02
   1.052729E-02   2.146811E+00   5.051068E-02
   1.064035E-02   2.150065E+00   5.346673E-02
   1.075733E-02   2.152898E+00   5.653180E-02
   1.088457E-02   2.154218E+00   6.012725E-02
   1.101935E-02   2.155228E+00   6.412360E-02
   1.116173E-02   2.155926E+00   6.843935E-02
   1.132380E-02   2.154557E+00   7.406404E-02
   1.149475E-02   2.152563E+00   7.973359E-02
   1.168913E-02   2.149690E+00   8.579424E-02
   1.190285E-02   2.146189E+00   9.187160E-02
   1.214405E-02   2.141791E+00   9.813194E-02
   1.241949E-02   2.137633E+00   1.054176E-01
   1.271347E-02   2.133497E+00   1.128169E-01
   1.307923E-02   2.126893E+00   1.239522E-01
   1.347428E-02   2.119907E+00   1.349425E-01
   1.392475E-02   2.112209E+00   1.466618E-01
   1.446413E-02   2.103705E+00   1.599267E-01
   1.506967E-02   2.094639E+00   1.734990E-01
   1.581751E-02   2.084833E+00   1.883631E-01
   1.664699E-02   2.074973E+00   2.027324E-01
   1.765850E-02   2.065835E+00   2.174572E-01
   1.880604E-02   2.058383E+00   2.316988E-01
   2.007901E-02   2.050730E+00   2.462561E-01
   2.161599E-02   2.043683E+00   2.620239E-01
   2.327060E-02   2.036424E+00   2.775171E-01
   2.525914E-02   2.029281E+00   2.950596E-01
   2.744599E-02   2.022128E+00   3.126081E-01
   2.994317E-02   2.015164E+00   3.304657E-01
   3.281495E-02   2.008177E+00   3.501003E-01
   3.596589E-02   2.000882E+00   3.693077E-01
   3.967042E-02   1.993945E+00   3.906926E-01
   4.376383E-02   1.986795E+00   4.117031E-01
   4.843071E-02   1.979604E+00   4.337329E-01
   5.369141E-02   1.972539E+00   4.562242E-01
   5.955635E-02   1.965252E+00   4.780460E-01
   6.633373E-02   1.958150E+00   5.012683E-01
   7.383909E-02   1.950857E+00   5.230976E-01
   8.230473E-02   1.943940E+00   5.445359E-01
   9.179108E-02   1.937160E+00   5.647146E-01
   1.024474E-01   1.930422E+00   5.835169E-01
   1.143102E-01   1.924513E+00   6.003499E-01
   1.274350E-01   1.918658E+00   6.152797E-01
   1.420319E-01   1.913697E+00   6.282472E-01
   1.580878E-01   1.909134E+00   6.391007E-01
   1.756699E-01   1.905184E+00   6.479099E-01
   1.947919E-01   1.902135E+00   6.548713E-01
   2.157500E-01   1.899347E+00   6.603559E-01
  -2.305608E-03   1.583684E+00   1.629279E-02
  -2.292634E-03   1.584439E+00   1.647962E-02
  -2.279329E-03   1.585199E+00   1.666968E-02
  -2.265672E-03   1.585968E+00   1.686123E-02
  -2.251636E-03   1.586744E+00   1.705316E-02
  -2.237273E-03   1.587526E+00   1.724998E-02
