# EOS Table generated on 20120307 from
# HShenEOS_rho220_temp180_ye65_version2.0_20111026_EOSmaker_svn9.h5
# Original table has nrho ntemp nye:    220   180    65
EoSType = ColdTable
Nrho =  2000
RhoMin =   0.161865E-14      RhoMax =   0.158181E-01
HeatCapacity =   0.160000E-02
GammaTh =   0.166667E+01
Kappa =   0.100000E+03
RhoSpacing = Log
 1.62507564E-02 1.28711287E+00 8.25377107E-02
 1.59652137E-02 1.28767810E+00 8.19750795E-02
 1.56839573E-02 1.28824383E+00 8.14079278E-02
 1.54069226E-02 1.28881006E+00 8.08361724E-02
 1.51340463E-02 1.28937679E+00 8.02597267E-02
 1.48652661E-02 1.28994401E+00 7.96785007E-02
 1.46005204E-02 1.29051174E+00 7.90924004E-02
 1.43397486E-02 1.29107996E+00 7.85013283E-02
 1.40828911E-02 1.29164869E+00 7.79051826E-02
 1.38298893E-02 1.29221792E+00 7.73038570E-02
 1.35804082E-02 1.29278753E+00 7.67654643E-02
 1.33346338E-02 1.29335763E+00 7.62333883E-02
 1.30925534E-02 1.29392823E+00 7.56970589E-02
 1.28541114E-02 1.29449933E+00 7.51563950E-02
 1.26192531E-02 1.29507095E+00 7.46113120E-02
 1.23879246E-02 1.29564306E+00 7.40617219E-02
 1.21600730E-02 1.29621568E+00 7.35075331E-02
 1.19356459E-02 1.29678881E+00 7.29486503E-02
 1.17145920E-02 1.29736245E+00 7.23849739E-02
 1.14966397E-02 1.29793647E+00 7.18708074E-02
 1.12818868E-02 1.29851094E+00 7.13725942E-02
 1.10703662E-02 1.29908593E+00 7.08704573E-02
 1.08620289E-02 1.29966143E+00 7.03643209E-02
 1.06568274E-02 1.30023744E+00 6.98541061E-02
 1.04547140E-02 1.30081396E+00 6.93397307E-02
 1.02556428E-02 1.30139099E+00 6.88211094E-02
 1.00595676E-02 1.30196854E+00 6.82981531E-02
 9.86644336E-03 1.30254660E+00 6.77707692E-02
 9.67605820E-03 1.30312503E+00 6.72803655E-02
 9.48842971E-03 1.30370390E+00 6.68141597E-02
 9.30362927E-03 1.30428327E+00 6.63443326E-02
 9.12161438E-03 1.30486316E+00 6.58708133E-02
 8.94234270E-03 1.30544357E+00 6.53935282E-02
 8.76577336E-03 1.30602450E+00 6.49124009E-02
 8.59186514E-03 1.30660595E+00 6.44273515E-02
 8.42057843E-03 1.30718791E+00 6.39382974E-02
 8.25187323E-03 1.30777039E+00 6.34451522E-02
 8.08559207E-03 1.30835326E+00 6.29778870E-02
 7.92168336E-03 1.30893649E+00 6.25419043E-02
 7.76024898E-03 1.30952024E+00 6.21025780E-02
 7.60125147E-03 1.31010452E+00 6.16598421E-02
 7.44465417E-03 1.31068931E+00 6.12136280E-02
 7.29042108E-03 1.31127463E+00 6.07638647E-02
 7.13851603E-03 1.31186048E+00 6.03104778E-02
 6.98890413E-03 1.31244685E+00 5.98533903E-02
 6.84155099E-03 1.31303374E+00 5.93925222E-02
 6.69634646E-03 1.31362104E+00 5.89477336E-02
 6.55318330E-03 1.31420861E+00 5.85402673E-02
 6.41218484E-03 1.31479670E+00 5.81297132E-02
 6.27331823E-03 1.31538533E+00 5.77160102E-02
 6.13655123E-03 1.31597448E+00 5.72990943E-02
 6.00185211E-03 1.31656416E+00 5.68788994E-02
 5.86918959E-03 1.31715438E+00 5.64553566E-02
 5.73853289E-03 1.31774512E+00 5.60283944E-02
 5.60985168E-03 1.31833639E+00 5.55979381E-02
 5.48307722E-03 1.31892811E+00 5.51749415E-02
 5.35806229E-03 1.31951996E+00 5.47943673E-02
 5.23494038E-03 1.32011234E+00 5.44109417E-02
 5.11368318E-03 1.32070525E+00 5.40246080E-02
 4.99426197E-03 1.32129871E+00 5.36353068E-02
 4.87664931E-03 1.32189269E+00 5.32429768E-02
 4.76081770E-03 1.32248722E+00 5.28475541E-02
 4.64674005E-03 1.32308228E+00 5.24489722E-02
 4.53439016E-03 1.32367788E+00 5.20471622E-02
 4.42373137E-03 1.32427398E+00 5.16452621E-02
 4.31459578E-03 1.32487002E+00 5.12900403E-02
 4.20711531E-03 1.32546660E+00 5.09321863E-02
 4.10126498E-03 1.32606372E+00 5.05716473E-02
 3.99701982E-03 1.32666138E+00 5.02083685E-02
 3.89435562E-03 1.32725959E+00 4.98422929E-02
 3.79324853E-03 1.32785834E+00 4.94733615E-02
 3.69367455E-03 1.32845763E+00 4.91015126E-02
 3.59561095E-03 1.32905746E+00 4.87266826E-02
 3.49903456E-03 1.32965784E+00 4.83488048E-02
 3.40380632E-03 1.33025801E+00 4.80138590E-02
 3.31001498E-03 1.33085866E+00 4.76801062E-02
 3.21764803E-03 1.33145986E+00 4.73438761E-02
 3.12668361E-03 1.33206161E+00 4.70051177E-02
 3.03710053E-03 1.33266390E+00 4.66637786E-02
 2.94887794E-03 1.33326675E+00 4.63198040E-02
 2.86199508E-03 1.33387014E+00 4.59731372E-02
 2.77643133E-03 1.33447408E+00 4.56237191E-02
 2.69216718E-03 1.33507857E+00 4.52714884E-02
 2.60911508E-03 1.33568279E+00 4.49531334E-02
 2.52730776E-03 1.33628734E+00 4.46420966E-02
 2.44674398E-03 1.33689245E+00 4.43287757E-02
 2.36740483E-03 1.33749810E+00 4.40131240E-02
 2.28927171E-03 1.33810431E+00 4.36950930E-02
 2.21232628E-03 1.33871108E+00 4.33746322E-02
 2.13655049E-03 1.33931840E+00 4.30516893E-02
 2.06192670E-03 1.33992627E+00 4.27262102E-02
 1.98843701E-03 1.34053470E+00 4.23981380E-02
 1.91603706E-03 1.34114282E+00 4.20958950E-02
 1.84472393E-03 1.34175103E+00 4.18062696E-02
 1.77449542E-03 1.34235981E+00 4.15145409E-02
 1.70533516E-03 1.34296914E+00 4.12206659E-02
 1.63722665E-03 1.34357903E+00 4.09245998E-02
 1.57015415E-03 1.34418948E+00 4.06262966E-02
 1.50410166E-03 1.34480049E+00 4.03257079E-02
 1.43905378E-03 1.34541207E+00 4.00227840E-02
 1.37499525E-03 1.34602420E+00 3.97174729E-02
 1.31191308E-03 1.34663602E+00 3.94308638E-02
 1.24979184E-03 1.34724760E+00 3.91614209E-02
 1.18861559E-03 1.34785974E+00 3.88900440E-02
 1.12836944E-03 1.34847245E+00 3.86166934E-02
 1.06903978E-03 1.34908572E+00 3.83413286E-02
 1.01061213E-03 1.34969956E+00 3.80639067E-02
 9.53073314E-04 1.35031396E+00 3.77843841E-02
 8.96409288E-04 1.35092893E+00 3.75027148E-02
 8.40607286E-04 1.35154447E+00 3.72188516E-02
 7.85673353E-04 1.35215975E+00 3.69474010E-02
 7.31605026E-04 1.35277432E+00 3.66969806E-02
 6.78358172E-04 1.35338945E+00 3.64447848E-02
 6.25920041E-04 1.35400515E+00 3.61907774E-02
 5.74278890E-04 1.35462143E+00 3.59349215E-02
 5.23422347E-04 1.35523827E+00 3.56771781E-02
 4.73338357E-04 1.35585568E+00 3.54175070E-02
 4.24015320E-04 1.35647367E+00 3.51558666E-02
 3.75441817E-04 1.35709223E+00 3.48922137E-02
 3.27631025E-04 1.35771069E+00 3.46354510E-02
 2.80617153E-04 1.35832777E+00 3.44029538E-02
 2.34316086E-04 1.35894543E+00 3.41688304E-02
 1.88717162E-04 1.35956367E+00 3.39330480E-02
 1.43809603E-04 1.36018247E+00 3.36955725E-02
 9.95826492E-05 1.36080185E+00 3.34563685E-02
 5.60265423E-05 1.36142181E+00 3.32154000E-02
 1.31308395E-05 1.36204235E+00 3.29726289E-02
-2.91146091E-05 1.36266346E+00 3.27280158E-02
-7.07022475E-05 1.36328476E+00 3.24854735E-02
-1.11537462E-04 1.36390381E+00 3.22698545E-02
-1.51755693E-04 1.36452344E+00 3.20527491E-02
-1.91366114E-04 1.36514365E+00 3.18341278E-02
-2.30378329E-04 1.36576443E+00 3.16139594E-02
-2.68800806E-04 1.36638580E+00 3.13922126E-02
-3.06642874E-04 1.36700775E+00 3.11688541E-02
-3.43913158E-04 1.36763027E+00 3.09438496E-02
-3.80620149E-04 1.36825338E+00 3.07171639E-02
-4.16772783E-04 1.36887708E+00 3.04887596E-02
-4.52201958E-04 1.36949750E+00 3.02886369E-02
-4.87096569E-04 1.37011845E+00 3.00875417E-02
-5.21466500E-04 1.37073999E+00 2.98850649E-02
-5.55319774E-04 1.37136210E+00 2.96811786E-02
-5.88664299E-04 1.37198480E+00 2.94758540E-02
-6.21507281E-04 1.37260809E+00 2.92690618E-02
-6.53856834E-04 1.37323196E+00 2.90607706E-02
-6.85719937E-04 1.37385642E+00 2.88509489E-02
-7.17104042E-04 1.37448146E+00 2.86395635E-02
-7.47834078E-04 1.37510311E+00 2.84506321E-02
-7.78073891E-04 1.37572466E+00 2.82645800E-02
-8.07862469E-04 1.37634679E+00 2.80772719E-02
-8.37206397E-04 1.37696951E+00 2.78886829E-02
-8.66112306E-04 1.37759281E+00 2.76987875E-02
-8.94586581E-04 1.37821670E+00 2.75075591E-02
-9.22635805E-04 1.37884118E+00 2.73149701E-02
-9.50266465E-04 1.37946625E+00 2.71209916E-02
-9.77484658E-04 1.38009192E+00 2.69255942E-02
-1.00412281E-03 1.38071421E+00 2.67474754E-02
-1.03029911E-03 1.38133554E+00 2.65755093E-02
-1.05608825E-03 1.38195746E+00 2.64024045E-02
-1.08149595E-03 1.38257997E+00 2.62281390E-02
-1.10652769E-03 1.38320307E+00 2.60526898E-02
-1.13118933E-03 1.38382676E+00 2.58760330E-02
-1.15548618E-03 1.38445104E+00 2.56981441E-02
-1.17942348E-03 1.38507592E+00 2.55189978E-02
-1.20300685E-03 1.38570138E+00 2.53385676E-02
-1.22608841E-03 1.38632370E+00 2.51709195E-02
-1.24872371E-03 1.38694396E+00 2.50122011E-02
-1.27102804E-03 1.38756480E+00 2.48524541E-02
-1.29300622E-03 1.38818623E+00 2.46916589E-02
-1.31466302E-03 1.38880826E+00 2.45297953E-02
-1.33600297E-03 1.38943088E+00 2.43668423E-02
-1.35703086E-03 1.39005409E+00 2.42027780E-02
-1.37775140E-03 1.39067789E+00 2.40375798E-02
-1.39816892E-03 1.39130229E+00 2.38712245E-02
-1.41816427E-03 1.39192399E+00 2.37136691E-02
-1.43772081E-03 1.39254225E+00 2.35672918E-02
-1.45699533E-03 1.39316110E+00 2.34199877E-02
-1.47599173E-03 1.39378055E+00 2.32717397E-02
-1.49471416E-03 1.39440059E+00 2.31225297E-02
-1.51316674E-03 1.39502122E+00 2.29723388E-02
-1.53135303E-03 1.39564245E+00 2.28211484E-02
-1.54927702E-03 1.39626427E+00 2.26689385E-02
-1.56694264E-03 1.39688668E+00 2.25156883E-02
-1.58426487E-03 1.39750708E+00 2.23678124E-02
-1.60115084E-03 1.39812241E+00 2.22329293E-02
-1.61779692E-03 1.39873834E+00 2.20972138E-02
-1.63420684E-03 1.39935486E+00 2.19606501E-02
-1.65038391E-03 1.39997197E+00 2.18232226E-02
-1.66633162E-03 1.40058967E+00 2.16849145E-02
-1.68205303E-03 1.40120797E+00 2.15457095E-02
-1.69755121E-03 1.40182686E+00 2.14055905E-02
-1.71282946E-03 1.40244635E+00 2.12645393E-02
-1.72784040E-03 1.40306475E+00 2.11259360E-02
-1.74241455E-03 1.40367620E+00 2.10017539E-02
-1.75678594E-03 1.40428824E+00 2.08768253E-02
-1.77095722E-03 1.40490088E+00 2.07511371E-02
-1.78493118E-03 1.40551410E+00 2.06246755E-02
-1.79871056E-03 1.40612792E+00 2.04974263E-02
