# EOS Table generated on 20120309 from
# LS220_234r_136t_50y_analmu_20091212_SVNr26.h5
# Original table has nrho ntemp nye:    234   136    50
# T =    0.100000E-01
EoSType = ColdTable
Nrho =  2000
RhoMin =   0.161865E-14      RhoMax =   0.161865E-01
HeatCapacity =   0.160000E-02
GammaTh =   0.166667E+01
Kappa =   0.100000E+03
RhoSpacing = Log
-9.84422982E-03 1.49203741E+00 2.88057639E-03
-9.84425312E-03 1.49229576E+00 2.87930510E-03
-9.84427634E-03 1.49255434E+00 2.87803288E-03
-9.84429954E-03 1.49281314E+00 2.87676047E-03
-9.84432267E-03 1.49307217E+00 2.87548711E-03
-9.84434575E-03 1.49333144E+00 2.87421319E-03
-9.84436881E-03 1.49359092E+00 2.87293908E-03
-9.84439180E-03 1.49385065E+00 2.87166402E-03
-9.84441474E-03 1.49411060E+00 2.87038839E-03
-9.84443673E-03 1.49436883E+00 2.86919821E-03
-9.84445735E-03 1.49462463E+00 2.86812514E-03
-9.84447796E-03 1.49488065E+00 2.86705206E-03
-9.84449851E-03 1.49513690E+00 2.86597819E-03
-9.84451902E-03 1.49539338E+00 2.86490392E-03
-9.84453952E-03 1.49565008E+00 2.86382962E-03
-9.84455995E-03 1.49590701E+00 2.86275453E-03
-9.84458038E-03 1.49616416E+00 2.86167942E-03
-9.84460074E-03 1.49642155E+00 2.86060352E-03
-9.84461938E-03 1.49667560E+00 2.85967789E-03
-9.84463770E-03 1.49692921E+00 2.85878080E-03
-9.84465596E-03 1.49718304E+00 2.85788304E-03
-9.84467419E-03 1.49743710E+00 2.85698499E-03
-9.84469242E-03 1.49769137E+00 2.85608705E-03
-9.84471059E-03 1.49794588E+00 2.85518843E-03
-9.84472873E-03 1.49820062E+00 2.85428953E-03
-9.84474687E-03 1.49845558E+00 2.85339073E-03
-9.84476447E-03 1.49870975E+00 2.85253265E-03
-9.84478073E-03 1.49896127E+00 2.85179106E-03
-9.84479699E-03 1.49921300E+00 2.85104966E-03
-9.84481320E-03 1.49946497E+00 2.85030767E-03
-9.84482938E-03 1.49971716E+00 2.84956550E-03
-9.84484557E-03 1.49996957E+00 2.84882351E-03
-9.84486171E-03 1.50022221E+00 2.84808094E-03
-9.84487782E-03 1.50047508E+00 2.84733817E-03
-9.84489394E-03 1.50072816E+00 2.84659560E-03
-9.84490889E-03 1.50097902E+00 2.84594830E-03
-9.84492332E-03 1.50122896E+00 2.84534548E-03
-9.84493776E-03 1.50147911E+00 2.84474292E-03
-9.84495215E-03 1.50172950E+00 2.84413984E-03
-9.84496652E-03 1.50198011E+00 2.84353663E-03
-9.84498090E-03 1.50223093E+00 2.84293367E-03
-9.84499523E-03 1.50248199E+00 2.84233020E-03
-9.84500954E-03 1.50273327E+00 2.84172659E-03
-9.84502371E-03 1.50298443E+00 2.84113622E-03
-9.84503653E-03 1.50323280E+00 2.84065836E-03
-9.84504933E-03 1.50348140E+00 2.84018041E-03
-9.84506214E-03 1.50373022E+00 2.83970277E-03
-9.84507491E-03 1.50397926E+00 2.83922465E-03
-9.84508766E-03 1.50422853E+00 2.83874645E-03
-9.84510040E-03 1.50447803E+00 2.83826817E-03
-9.84511316E-03 1.50472774E+00 2.83779019E-03
-9.84512586E-03 1.50497768E+00 2.83731174E-03
-9.84513786E-03 1.50522620E+00 2.83689316E-03
-9.84514922E-03 1.50547344E+00 2.83652905E-03
