 EoSType = ColdTable
 Nrho=4000
 RhoMin=   0.161865E-09    RhoMax=   0.161865E-02
HeatCapacity=   0.160000E-02
     GammaTh=   0.166667E+01
    Kappa=   0.100000E+03
 RhoSpacing = Log
-9.41472518E-03 1.58381117E+00 1.63408854E-02
-9.41398654E-03 1.58385833E+00 1.63505787E-02
-9.41324672E-03 1.58390552E+00 1.63602628E-02
-9.41250581E-03 1.58395271E+00 1.63699433E-02
-9.41176370E-03 1.58399993E+00 1.63796144E-02
-9.41102046E-03 1.58404717E+00 1.63892792E-02
-9.41027613E-03 1.58409441E+00 1.63989404E-02
-9.40953060E-03 1.58414168E+00 1.64085924E-02
-9.40878398E-03 1.58418894E+00 1.64182408E-02
-9.40803616E-03 1.58423624E+00 1.64278800E-02
-9.40728724E-03 1.58428354E+00 1.64375157E-02
-9.40653713E-03 1.58433087E+00 1.64471421E-02
-9.40578591E-03 1.58437820E+00 1.64567651E-02
-9.40503491E-03 1.58442286E+00 1.64674306E-02
-9.40428324E-03 1.58446660E+00 1.64784544E-02
-9.40353046E-03 1.58451034E+00 1.64894725E-02
-9.40277648E-03 1.58455411E+00 1.65004791E-02
-9.40202139E-03 1.58459789E+00 1.65114802E-02
-9.40126510E-03 1.58464169E+00 1.65224698E-02
-9.40050770E-03 1.58468549E+00 1.65334538E-02
-9.39974909E-03 1.58472933E+00 1.65444265E-02
-9.39898937E-03 1.58477316E+00 1.65553936E-02
-9.39822844E-03 1.58481703E+00 1.65663494E-02
-9.39746639E-03 1.58486089E+00 1.65772996E-02
-9.39670318E-03 1.58490478E+00 1.65882414E-02
-9.39593875E-03 1.58494869E+00 1.65991720E-02
-9.39517315E-03 1.58499262E+00 1.66100941E-02
-9.39440643E-03 1.58503655E+00 1.66210109E-02
-9.39363854E-03 1.58508049E+00 1.66319192E-02
-9.39286942E-03 1.58512447E+00 1.66428164E-02
-9.39209918E-03 1.58516844E+00 1.66537081E-02
-9.39132771E-03 1.58521245E+00 1.66645886E-02
-9.39055511E-03 1.58525646E+00 1.66754638E-02
-9.38978128E-03 1.58530050E+00 1.66863278E-02
-9.38900632E-03 1.58534454E+00 1.66971865E-02
-9.38823018E-03 1.58538859E+00 1.67080369E-02
-9.38745280E-03 1.58543268E+00 1.67188762E-02
-9.38667428E-03 1.58547677E+00 1.67297103E-02
-9.38589458E-03 1.58552087E+00 1.67405361E-02
-9.38511363E-03 1.58556500E+00 1.67513509E-02
-9.38433155E-03 1.58560914E+00 1.67621604E-02
-9.38354822E-03 1.58565330E+00 1.67729589E-02
-9.38276374E-03 1.58569747E+00 1.67837522E-02
-9.38197802E-03 1.58574167E+00 1.67945345E-02
-9.38119115E-03 1.58578587E+00 1.68053116E-02
-9.38040440E-03 1.58583031E+00 1.68164888E-02
-9.37961664E-03 1.58587482E+00 1.68277200E-02
-9.37882769E-03 1.58591934E+00 1.68389424E-02
-9.37803754E-03 1.58596387E+00 1.68501561E-02
-9.37724618E-03 1.58600842E+00 1.68613611E-02
-9.37645362E-03 1.58605299E+00 1.68725573E-02
-9.37565986E-03 1.58609757E+00 1.68837449E-02
-9.37486488E-03 1.58614217E+00 1.68949238E-02
-9.37406874E-03 1.58618677E+00 1.69060970E-02
-9.37327135E-03 1.58623140E+00 1.69172586E-02
-9.37247274E-03 1.58627605E+00 1.69284116E-02
-9.37167292E-03 1.58632071E+00 1.69395560E-02
-9.37087188E-03 1.58636539E+00 1.69506918E-02
-9.37006962E-03 1.58641008E+00 1.69618190E-02
-9.36926615E-03 1.58645480E+00 1.69729377E-02
-9.36846146E-03 1.58649952E+00 1.69840479E-02
-9.36765558E-03 1.58654425E+00 1.69951525E-02
-9.36684844E-03 1.58658901E+00 1.70062456E-02
-9.36604007E-03 1.58663379E+00 1.70173302E-02
-9.36523047E-03 1.58667858E+00 1.70284064E-02
-9.36441965E-03 1.58672339E+00 1.70394741E-02
-9.36360759E-03 1.58676821E+00 1.70505334E-02
-9.36279430E-03 1.58681305E+00 1.70615842E-02
-9.36197978E-03 1.58685791E+00 1.70726267E-02
-9.36116406E-03 1.58690276E+00 1.70836637E-02
-9.36034707E-03 1.58694765E+00 1.70946894E-02
-9.35952883E-03 1.58699256E+00 1.71057067E-02
-9.35870935E-03 1.58703748E+00 1.71167157E-02
-9.35788863E-03 1.58708242E+00 1.71277164E-02
-9.35706671E-03 1.58712735E+00 1.71387118E-02
-9.35624350E-03 1.58717232E+00 1.71496959E-02
-9.35541904E-03 1.58721731E+00 1.71606717E-02
-9.35459526E-03 1.58726259E+00 1.71721141E-02
-9.35377028E-03 1.58730787E+00 1.71835546E-02
-9.35294402E-03 1.58735319E+00 1.71949830E-02
-9.35211651E-03 1.58739852E+00 1.72064026E-02
-9.35128778E-03 1.58744385E+00 1.72178162E-02
-9.35045776E-03 1.58748922E+00 1.72292179E-02
-9.34962653E-03 1.58753458E+00 1.72406138E-02
-9.34879400E-03 1.58757998E+00 1.72519977E-02
-9.34796022E-03 1.58762539E+00 1.72633728E-02
-9.34712521E-03 1.58767081E+00 1.72747421E-02
-9.34628890E-03 1.58771625E+00 1.72860995E-02
-9.34545133E-03 1.58776172E+00 1.72974482E-02
-9.34461253E-03 1.58780718E+00 1.73087910E-02
-9.34377243E-03 1.58785268E+00 1.73201221E-02
-9.34293110E-03 1.58789817E+00 1.73314475E-02
-9.34208846E-03 1.58794370E+00 1.73427610E-02
-9.34124458E-03 1.58798923E+00 1.73540690E-02
-9.34039939E-03 1.58803479E+00 1.73653651E-02
-9.33955294E-03 1.58808037E+00 1.73766526E-02
-9.33870523E-03 1.58812595E+00 1.73879345E-02
-9.33785622E-03 1.58817156E+00 1.73992046E-02
-9.33700595E-03 1.58821717E+00 1.74104692E-02
-9.33615437E-03 1.58826282E+00 1.74217221E-02
-9.33530154E-03 1.58830846E+00 1.74329695E-02
-9.33444739E-03 1.58835414E+00 1.74442052E-02
-9.33359196E-03 1.58839983E+00 1.74554324E-02
-9.33273527E-03 1.58844553E+00 1.74666541E-02
-9.33187728E-03 1.58849124E+00 1.74778672E-02
-9.33101797E-03 1.58853698E+00 1.74890688E-02
-9.33015737E-03 1.58858274E+00 1.75002618E-02
-9.32929550E-03 1.58862850E+00 1.75114495E-02
-9.32843261E-03 1.58867432E+00 1.75226855E-02
-9.32757046E-03 1.58872041E+00 1.75343404E-02
-9.32670704E-03 1.58876651E+00 1.75459892E-02
-9.32584230E-03 1.58881264E+00 1.75576257E-02
-9.32497625E-03 1.58885878E+00 1.75692531E-02
-9.32410891E-03 1.58890494E+00 1.75808713E-02
-9.32324029E-03 1.58895110E+00 1.75924836E-02
-9.32237035E-03 1.58899730E+00 1.76040836E-02
-9.32149912E-03 1.58904349E+00 1.76156777E-02
-9.32062656E-03 1.58908972E+00 1.76272595E-02
-9.31975271E-03 1.58913595E+00 1.76388355E-02
-9.31887753E-03 1.58918221E+00 1.76503993E-02
-9.31800106E-03 1.58922848E+00 1.76619573E-02
-9.31712325E-03 1.58927477E+00 1.76735031E-02
-9.31624412E-03 1.58932109E+00 1.76850400E-02
-9.31536370E-03 1.58936740E+00 1.76965710E-02
-9.31448194E-03 1.58941375E+00 1.77080899E-02
-9.31359888E-03 1.58946009E+00 1.77196031E-02
-9.31271447E-03 1.58950647E+00 1.77311042E-02
-9.31182876E-03 1.58955285E+00 1.77425996E-02
-9.31094170E-03 1.58959927E+00 1.77540830E-02
-9.31005333E-03 1.58964568E+00 1.77655607E-02
-9.30916361E-03 1.58969213E+00 1.77770264E-02
-9.30827257E-03 1.58973858E+00 1.77884864E-02
-9.30738019E-03 1.58978506E+00 1.77999345E-02
-9.30648649E-03 1.58983154E+00 1.78113769E-02
-9.30559143E-03 1.58987806E+00 1.78228074E-02
-9.30469504E-03 1.58992458E+00 1.78342324E-02
-9.30379730E-03 1.58997113E+00 1.78456454E-02
-9.30289824E-03 1.59001768E+00 1.78570529E-02
-9.30199781E-03 1.59006426E+00 1.78684485E-02
-9.30109605E-03 1.59011084E+00 1.78798386E-02
-9.30019360E-03 1.59015752E+00 1.78913399E-02
-9.29929186E-03 1.59020444E+00 1.79032055E-02
-9.29838877E-03 1.59025138E+00 1.79150617E-02
-9.29748433E-03 1.59029833E+00 1.79269085E-02
-9.29657855E-03 1.59034531E+00 1.79387460E-02
-9.29567141E-03 1.59039229E+00 1.79505741E-02
-9.29476293E-03 1.59043930E+00 1.79623929E-02
-9.29385310E-03 1.59048631E+00 1.79742055E-02
-9.29294190E-03 1.59053335E+00 1.79860057E-02
-9.29202935E-03 1.59058041E+00 1.79977966E-02
-9.29111543E-03 1.59062748E+00 1.80095782E-02
-9.29020016E-03 1.59067458E+00 1.80213507E-02
-9.28928353E-03 1.59072167E+00 1.80331170E-02
-9.28836552E-03 1.59076880E+00 1.80448711E-02
-9.28744615E-03 1.59081594E+00 1.80566159E-02
-9.28652541E-03 1.59086310E+00 1.80683516E-02
-9.28560330E-03 1.59091028E+00 1.80800781E-02
-9.28467983E-03 1.59095746E+00 1.80917987E-02
-9.28375498E-03 1.59100467E+00 1.81035070E-02
-9.28282874E-03 1.59105190E+00 1.81152062E-02
-9.28190113E-03 1.59109915E+00 1.81268963E-02
-9.28097214E-03 1.59114642E+00 1.81385773E-02
-9.28004178E-03 1.59119368E+00 1.81502526E-02
-9.27911002E-03 1.59124098E+00 1.81619156E-02
-9.27817688E-03 1.59128830E+00 1.81735696E-02
-9.27724236E-03 1.59133562E+00 1.81852178E-02
-9.27630645E-03 1.59138297E+00 1.81968538E-02
-9.27536914E-03 1.59143034E+00 1.82084809E-02
-9.27443044E-03 1.59147773E+00 1.82200991E-02
-9.27349035E-03 1.59152513E+00 1.82317083E-02
-9.27254886E-03 1.59157254E+00 1.82433118E-02
-9.27160598E-03 1.59161997E+00 1.82549033E-02
-9.27066283E-03 1.59166753E+00 1.82666743E-02
-9.26972024E-03 1.59171530E+00 1.82787498E-02
-9.26877625E-03 1.59176308E+00 1.82908190E-02
-9.26783086E-03 1.59181089E+00 1.83028752E-02
-9.26688408E-03 1.59185870E+00 1.83149252E-02
-9.26593589E-03 1.59190653E+00 1.83269656E-02
-9.26498630E-03 1.59195440E+00 1.83389932E-02
-9.26403531E-03 1.59200226E+00 1.83510145E-02
-9.26308291E-03 1.59205016E+00 1.83630230E-02
-9.26212910E-03 1.59209806E+00 1.83750254E-02
-9.26117388E-03 1.59214598E+00 1.83870182E-02
-9.26021724E-03 1.59219393E+00 1.83989984E-02
-9.25925920E-03 1.59224189E+00 1.84109724E-02
-9.25829973E-03 1.59228986E+00 1.84229369E-02
-9.25733885E-03 1.59233786E+00 1.84348889E-02
-9.25637655E-03 1.59238587E+00 1.84468347E-02
-9.25541283E-03 1.59243389E+00 1.84587711E-02
-9.25444768E-03 1.59248195E+00 1.84706950E-02
-9.25348111E-03 1.59253001E+00 1.84826128E-02
-9.25251311E-03 1.59257809E+00 1.84945213E-02
-9.25154368E-03 1.59262620E+00 1.85064172E-02
-9.25057282E-03 1.59267431E+00 1.85183071E-02
-9.24960053E-03 1.59272244E+00 1.85301878E-02
-9.24862680E-03 1.59277059E+00 1.85420593E-02
-9.24765164E-03 1.59281877E+00 1.85539183E-02
-9.24667503E-03 1.59286695E+00 1.85657713E-02
-9.24569698E-03 1.59291516E+00 1.85776152E-02
-9.24471750E-03 1.59296339E+00 1.85894466E-02
-9.24373657E-03 1.59301163E+00 1.86012722E-02
-9.24275419E-03 1.59305988E+00 1.86130886E-02
-9.24177036E-03 1.59310815E+00 1.86248960E-02
-9.24078508E-03 1.59315645E+00 1.86366942E-02
-9.23980005E-03 1.59320490E+00 1.86487364E-02
-9.23881533E-03 1.59325355E+00 1.86610243E-02
