# EOS Table generated on 20120306 from
# HShenEOS_rho220_temp180_ye65_version2.0_20111026_EOSmaker_svn9.h5
# Original table has nrho ntemp nye:    220   180    65
EoSType = BetaEq
Nrho =   300NT =   120
RhoMin =   0.161865E-09      RhoMax =   0.158181E-01
Tmin =   0.100000E-01      Tmax =   0.316228E+03
HeatCapacity =   0.160000E-02
GammaTh =   0.166667E+01
Kappa =   0.100000E+03
RhoSpacing = Log
TSpacing = Log
-2.26580016E-03 1.57949154E+00 1.70335812E-02
-2.25264149E-03 1.58010402E+00 1.72125477E-02
-2.23918511E-03 1.58072685E+00 1.73916281E-02
-2.22535500E-03 1.58135164E+00 1.75754511E-02
-2.21129623E-03 1.58198756E+00 1.77574295E-02
-2.19692618E-03 1.58263013E+00 1.79432591E-02
-2.18222549E-03 1.58327729E+00 1.81281701E-02
-2.16723807E-03 1.58393468E+00 1.83168241E-02
-2.15195333E-03 1.58460004E+00 1.85045707E-02
-2.13629890E-03 1.58526875E+00 1.86958440E-02
-2.12037315E-03 1.58594719E+00 1.88872391E-02
-2.10410654E-03 1.58663270E+00 1.90798351E-02
-2.08747136E-03 1.58732444E+00 1.92746486E-02
-2.07056274E-03 1.58802675E+00 1.94686793E-02
-2.05325271E-03 1.58873325E+00 1.96679620E-02
-2.03560576E-03 1.58944745E+00 1.98653866E-02
-2.01763143E-03 1.59017022E+00 2.00667706E-02
-1.99926340E-03 1.59089833E+00 2.02671185E-02
-1.98051433E-03 1.59163416E+00 2.04717178E-02
-1.96146185E-03 1.59238090E+00 2.06755624E-02
-1.94195921E-03 1.59313055E+00 2.08825009E-02
-1.92208340E-03 1.59388744E+00 2.10907636E-02
-1.90188743E-03 1.59465546E+00 2.12985072E-02
-1.88120233E-03 1.59542767E+00 2.15102439E-02
-1.86015621E-03 1.59620907E+00 2.17206793E-02
-1.83873284E-03 1.59699864E+00 2.19368174E-02
-1.81684179E-03 1.59779327E+00 2.21515584E-02
-1.79452995E-03 1.59859528E+00 2.23701174E-02
-1.77187352E-03 1.59940828E+00 2.25866707E-02
-1.74868523E-03 1.60022545E+00 2.28081409E-02
-1.72508279E-03 1.60105163E+00 2.30302907E-02
-1.70109917E-03 1.60188720E+00 2.32532099E-02
-1.67657740E-03 1.60272628E+00 2.34795352E-02
-1.65162578E-03 1.60357470E+00 2.37051560E-02
-1.62575972E-03 1.60443360E+00 2.39344621E-02
-1.59911257E-03 1.60529904E+00 2.41623876E-02
-1.57192134E-03 1.60617015E+00 2.43978372E-02
-1.54434272E-03 1.60705279E+00 2.46301369E-02
-1.51616292E-03 1.60794083E+00 2.48662961E-02
-1.48747314E-03 1.60883692E+00 2.51017644E-02
-1.45833183E-03 1.60974391E+00 2.53399950E-02
-1.42860902E-03 1.61065811E+00 2.55809203E-02
-1.39832734E-03 1.61157959E+00 2.58224296E-02
-1.36754703E-03 1.61250998E+00 2.60665842E-02
-1.33626607E-03 1.61345012E+00 2.63079326E-02
-1.30428381E-03 1.61439711E+00 2.65522051E-02
-1.27187913E-03 1.61535743E+00 2.67914804E-02
-1.23888529E-03 1.61632767E+00 2.70378591E-02
-1.20522037E-03 1.61730752E+00 2.72860071E-02
-1.17103421E-03 1.61829662E+00 2.75405815E-02
-1.13635038E-03 1.61929586E+00 2.77964566E-02
-1.10095251E-03 1.62030077E+00 2.80486109E-02
-1.06492730E-03 1.62131521E+00 2.82962889E-02
-1.02841292E-03 1.62234369E+00 2.85379483E-02
-9.90482947E-04 1.62339105E+00 2.87910831E-02
-9.51584648E-04 1.62445095E+00 2.90496485E-02
-9.12001089E-04 1.62551330E+00 2.93202325E-02
-8.71929850E-04 1.62658794E+00 2.95821404E-02
-8.31112368E-04 1.62767319E+00 2.98392378E-02
-7.89535969E-04 1.62877395E+00 3.00934998E-02
-7.47360464E-04 1.62988719E+00 3.03553687E-02
-7.04576400E-04 1.63101015E+00 3.06231447E-02
-6.61229880E-04 1.63214305E+00 3.08924103E-02
-6.17026901E-04 1.63328685E+00 3.11626014E-02
-5.72228826E-04 1.63444281E+00 3.14274246E-02
-5.26697878E-04 1.63560950E+00 3.16957542E-02
-4.80667452E-04 1.63678635E+00 3.19637261E-02
-4.33892067E-04 1.63797545E+00 3.22377195E-02
-3.85999993E-04 1.63918156E+00 3.25061773E-02
-3.36384888E-04 1.64040871E+00 3.27827755E-02
-2.86107869E-04 1.64164528E+00 3.30623174E-02
-2.35147268E-04 1.64289091E+00 3.33440732E-02
-1.83449293E-04 1.64414666E+00 3.36276287E-02
-1.31122646E-04 1.64541330E+00 3.39084651E-02
-7.79746682E-05 1.64669180E+00 3.41929878E-02
-2.43146356E-05 1.64798172E+00 3.44733063E-02
 3.05238597E-05 1.64928406E+00 3.47648155E-02
 8.58904941E-05 1.65059694E+00 3.50527534E-02
 1.42105073E-04 1.65192159E+00 3.53490847E-02
 1.98961726E-04 1.65325732E+00 3.56435246E-02
 2.57992207E-04 1.65461098E+00 3.59401051E-02
 3.17851218E-04 1.65597530E+00 3.62368511E-02
 3.78434035E-04 1.65735302E+00 3.65318270E-02
 4.39918344E-04 1.65874608E+00 3.68280717E-02
 5.01997688E-04 1.66015155E+00 3.71212966E-02
 5.65104583E-04 1.66157175E+00 3.74255441E-02
 6.28789163E-04 1.66300364E+00 3.77257015E-02
 6.93603402E-04 1.66444745E+00 3.80332659E-02
 7.59028872E-04 1.66590293E+00 3.83377708E-02
 8.26168577E-04 1.66737617E+00 3.86472412E-02
 8.94769930E-04 1.66886501E+00 3.89553558E-02
 9.64201913E-04 1.67036801E+00 3.92627941E-02
 1.03457011E-03 1.67188561E+00 3.95711501E-02
 1.10565254E-03 1.67341841E+00 3.98771962E-02
 1.17774293E-03 1.67497021E+00 4.01889643E-02
 1.25041275E-03 1.67653435E+00 4.04973548E-02
 1.32421150E-03 1.67811573E+00 4.08155848E-02
 1.39929979E-03 1.67971151E+00 4.11288174E-02
 1.47633124E-03 1.68133018E+00 4.14438663E-02
 1.55409528E-03 1.68296376E+00 4.17546665E-02
 1.63279681E-03 1.68461664E+00 4.20687290E-02
 1.71234489E-03 1.68628741E+00 4.23834591E-02
 1.79264989E-03 1.68797447E+00 4.26970826E-02
 1.87389639E-03 1.68968031E+00 4.30137566E-02
 1.95645103E-03 1.69140565E+00 4.33258638E-02
 2.04118163E-03 1.69316169E+00 4.36419942E-02
 2.12646302E-03 1.69493184E+00 4.39521969E-02
 2.21292296E-03 1.69672485E+00 4.42695174E-02
 2.29995543E-03 1.69853252E+00 4.45813152E-02
 2.38793456E-03 1.70036432E+00 4.48928522E-02
 2.47696629E-03 1.70221630E+00 4.52008561E-02
 2.56822045E-03 1.70409454E+00 4.55125123E-02
 2.66034823E-03 1.70599756E+00 4.58250255E-02
 2.75311332E-03 1.70791979E+00 4.61333780E-02
 2.84687824E-03 1.70986812E+00 4.64445524E-02
