 EoSType = ColdTable
 Nrho= 450
 RhoMin=   0.161865E-14    RhoMax=   0.161865E-01
HeatCapacity=   0.160000E-02
     GammaTh=   0.166667E+01
    Kappa=   0.100000E+03
 RhoSpacing = Log
 9.14746689E-03 1.28711783E+00 8.26569751E-02
 7.90829869E-03 1.28964029E+00 8.00149131E-02
 6.74917351E-03 1.29217242E+00 7.74539888E-02
 5.66493735E-03 1.29471424E+00 7.49721233E-02
 4.65076922E-03 1.29726578E+00 7.25672609E-02
 3.70215968E-03 1.29982704E+00 7.02373733E-02
 2.81489060E-03 1.30239805E+00 6.79804631E-02
 1.98501652E-03 1.30497880E+00 6.57945663E-02
 1.20884703E-03 1.30756930E+00 6.36777550E-02
 4.82930462E-04 1.31016953E+00 6.16281398E-02
-1.95961655E-04 1.31277947E+00 5.96438716E-02
-8.30849002E-04 1.31539910E+00 5.77231430E-02
-1.42455566E-03 1.31802837E+00 5.58641901E-02
-1.97972283E-03 1.32066723E+00 5.40652930E-02
-2.49882107E-03 1.32331561E+00 5.23247774E-02
-2.98416051E-03 1.32597343E+00 5.06410145E-02
-3.43790197E-03 1.32864057E+00 4.90124219E-02
-3.86206624E-03 1.33131691E+00 4.74374632E-02
-4.25854324E-03 1.33400231E+00 4.59146485E-02
-4.62910052E-03 1.33669658E+00 4.44425332E-02
-4.97539149E-03 1.33939952E+00 4.30197184E-02
-5.29896261E-03 1.34211091E+00 4.16448487E-02
-5.60126060E-03 1.34483047E+00 4.03166118E-02
-5.88363899E-03 1.34755789E+00 3.90337362E-02
-6.14736446E-03 1.35029284E+00 3.77949897E-02
-6.39362269E-03 1.35303492E+00 3.65991767E-02
-6.62352358E-03 1.35578371E+00 3.54451352E-02
-6.83810673E-03 1.35853872E+00 3.43317340E-02
-7.03834636E-03 1.36129945E+00 3.32578697E-02
-7.22515552E-03 1.36406530E+00 3.22224623E-02
-7.39939060E-03 1.36683566E+00 3.12244523E-02
-7.56185515E-03 1.36960987E+00 3.02627965E-02
-7.71330367E-03 1.37238720E+00 2.93364652E-02
-7.85444502E-03 1.37516688E+00 2.84444392E-02
-7.98594533E-03 1.37794812E+00 2.75857066E-02
-8.10843122E-03 1.38073007E+00 2.67592632E-02
-8.22249191E-03 1.38351185E+00 2.59641092E-02
-8.32868188E-03 1.38629255E+00 2.51992506E-02
-8.42752293E-03 1.38907122E+00 2.44637015E-02
-8.51950585E-03 1.39184692E+00 2.37564834E-02
-8.60509227E-03 1.39461866E+00 2.30766298E-02
-8.68471617E-03 1.39738545E+00 2.24231897E-02
-8.75878508E-03 1.40014629E+00 2.17952283E-02
-8.82768162E-03 1.40290018E+00 2.11918351E-02
-8.89176439E-03 1.40564609E+00 2.06121224E-02
-8.95136925E-03 1.40838301E+00 2.00552313E-02
-9.00681043E-03 1.41110992E+00 1.95203341E-02
-9.05838145E-03 1.41382580E+00 1.90066335E-02
-9.10635626E-03 1.41652963E+00 1.85133669E-02
-9.15099016E-03 1.41922040E+00 1.80398046E-02
-9.19252094E-03 1.42189709E+00 1.75852515E-02
-9.23116966E-03 1.42455868E+00 1.71490429E-02
-9.26714188E-03 1.42720417E+00 1.67305478E-02
-9.30062842E-03 1.42983254E+00 1.63291629E-02
-9.33180640E-03 1.43244280E+00 1.59443149E-02
-9.36084008E-03 1.43503397E+00 1.55754545E-02
-9.38788176E-03 1.43760507E+00 1.52220574E-02
-9.41307257E-03 1.44015515E+00 1.48836198E-02
-9.43654335E-03 1.44268326E+00 1.45596599E-02
-9.45841523E-03 1.44518849E+00 1.42497110E-02
-9.47880053E-03 1.44766996E+00 1.39533257E-02
-9.49780323E-03 1.45012682E+00 1.36700692E-02
-9.51551972E-03 1.45255824E+00 1.33995214E-02
-9.53203932E-03 1.45496347E+00 1.31412740E-02
-9.54744477E-03 1.45734176E+00 1.28949289E-02
-9.56181282E-03 1.45969246E+00 1.26601002E-02
-9.57521460E-03 1.46201493E+00 1.24364098E-02
-9.58771610E-03 1.46430862E+00 1.22234912E-02
-9.59937850E-03 1.46657302E+00 1.20209842E-02
-9.61025858E-03 1.46880769E+00 1.18285370E-02
-9.62040902E-03 1.47101228E+00 1.16458072E-02
-9.62987876E-03 1.47318645E+00 1.14724609E-02
-9.63871316E-03 1.47533000E+00 1.13081691E-02
-9.64695439E-03 1.47744275E+00 1.11526126E-02
-9.65464160E-03 1.47952460E+00 1.10054817E-02
-9.66181114E-03 1.48157550E+00 1.08664724E-02
-9.66849677E-03 1.48359550E+00 1.07352885E-02
-9.67472985E-03 1.48558468E+00 1.06116440E-02
-9.68053952E-03 1.48754318E+00 1.04952605E-02
-9.68595280E-03 1.48947122E+00 1.03858670E-02
-9.69099483E-03 1.49136904E+00 1.02832034E-02
-9.69568891E-03 1.49323693E+00 1.01870165E-02
-9.70005669E-03 1.49507523E+00 1.00970642E-02
-9.70411825E-03 1.49688431E+00 1.00131115E-02
-9.70789218E-03 1.49866456E+00 9.93493402E-03
-9.71139576E-03 1.50041641E+00 9.86231659E-03
-9.71464497E-03 1.50214030E+00 9.79505380E-03
-9.71765460E-03 1.50383668E+00 9.73294989E-03
-9.72043831E-03 1.50550600E+00 9.67581771E-03
-9.72300876E-03 1.50714872E+00 9.62348209E-03
-9.72537760E-03 1.50876531E+00 9.57577656E-03
-9.72755556E-03 1.51035620E+00 9.53254327E-03
-9.72955250E-03 1.51192185E+00 9.49363403E-03
-9.73137749E-03 1.51346266E+00 9.45891385E-03
-9.73303883E-03 1.51497904E+00 9.42825380E-03
-9.73454408E-03 1.51647138E+00 9.40153438E-03
-9.73590013E-03 1.51794003E+00 9.37864656E-03
-9.73711326E-03 1.51938533E+00 9.35949042E-03
-9.73818909E-03 1.52080758E+00 9.34397501E-03
-9.73913271E-03 1.52220706E+00 9.33201802E-03
-9.73994865E-03 1.52358402E+00 9.32354429E-03
-9.74064093E-03 1.52493866E+00 9.31848930E-03
-9.74121307E-03 1.52627122E+00 9.31679244E-03
-9.74166815E-03 1.52758185E+00 9.31840303E-03
-9.74200880E-03 1.52887069E+00 9.32327873E-03
-9.74223725E-03 1.53013786E+00 9.33138115E-03
-9.74235531E-03 1.53138350E+00 9.34267794E-03
-9.74236445E-03 1.53260767E+00 9.35714512E-03
-9.74226574E-03 1.53381048E+00 9.37475967E-03
-9.74205998E-03 1.53499198E+00 9.39550728E-03
-9.74174759E-03 1.53615225E+00 9.41937491E-03
-9.74132873E-03 1.53729136E+00 9.44635434E-03
-9.74080327E-03 1.53840938E+00 9.47643881E-03
-9.74017080E-03 1.53950640E+00 9.50962528E-03
-9.73943067E-03 1.54058252E+00 9.54591096E-03
-9.73858200E-03 1.54163784E+00 9.58529718E-03
-9.73762370E-03 1.54267252E+00 9.62778134E-03
-9.73655445E-03 1.54368672E+00 9.67336233E-03
-9.73537275E-03 1.54468060E+00 9.72204325E-03
-9.73407694E-03 1.54565442E+00 9.77382004E-03
-9.73266520E-03 1.54660844E+00 9.82868874E-03
-9.73113553E-03 1.54754293E+00 9.88664681E-03
-9.72948585E-03 1.54845827E+00 9.94768304E-03
-9.72771390E-03 1.54935479E+00 1.00117936E-02
-9.72581737E-03 1.55023295E+00 1.00789605E-02
-9.72379380E-03 1.55109318E+00 1.01491727E-02
-9.72164069E-03 1.55193601E+00 1.02224094E-02
-9.71935544E-03 1.55276197E+00 1.02986485E-02
-9.71693538E-03 1.55357163E+00 1.03778681E-02
-9.71437780E-03 1.55436560E+00 1.04600400E-02
-9.71167992E-03 1.55514452E+00 1.05451346E-02
-9.70883897E-03 1.55590910E+00 1.06331142E-02
-9.70585207E-03 1.55666001E+00 1.07239474E-02
-9.70271635E-03 1.55739797E+00 1.08175949E-02
-9.69942895E-03 1.55812374E+00 1.09140136E-02
-9.69598695E-03 1.55883807E+00 1.10131618E-02
-9.69238737E-03 1.55954171E+00 1.11149988E-02
-9.68862732E-03 1.56023545E+00 1.12194743E-02
-9.68470381E-03 1.56092006E+00 1.13265453E-02
-9.68061386E-03 1.56159631E+00 1.14361640E-02
-9.67635448E-03 1.56226495E+00 1.15482845E-02
-9.67192271E-03 1.56292676E+00 1.16628566E-02
-9.66731547E-03 1.56358247E+00 1.17798370E-02
-9.66252978E-03 1.56423283E+00 1.18991762E-02
-9.65756255E-03 1.56487852E+00 1.20208325E-02
-9.65241078E-03 1.56552028E+00 1.21447561E-02
-9.64700977E-03 1.56615891E+00 1.22709082E-02
-9.64125326E-03 1.56679532E+00 1.23992476E-02
-9.63529662E-03 1.56742974E+00 1.25297321E-02
-9.62913668E-03 1.56806277E+00 1.26623251E-02
-9.62277008E-03 1.56869499E+00 1.27969894E-02
-9.61619343E-03 1.56932694E+00 1.29336899E-02
-9.60940344E-03 1.56995914E+00 1.30723959E-02
-9.60239677E-03 1.57059207E+00 1.32130788E-02
-9.59516966E-03 1.57122623E+00 1.33557047E-02
-9.58771893E-03 1.57186203E+00 1.35002543E-02
-9.58004073E-03 1.57249992E+00 1.36466977E-02
-9.57213162E-03 1.57314026E+00 1.37950174E-02
-9.56398791E-03 1.57378343E+00 1.39451927E-02
